Country,Region
Zimbabwe,116579
Zambia,22510
Yemen,212510
Vietnam,1086407
Venezuela,1981713
Vanuatu,913
Uzbekistan,1297344
Uruguay,66515
United States,62232787
United Kingdom,5811215
United Arab Emirates,1387327
Ukraine,3534510
Uganda,26762
Turks and Caicos Islands,1237
Turkmenistan,502251
Turkey,2704999
Tunisia,251096
Trinidad and Tobago,383712
Tonga,1738
Togo,14985
Timor-Leste,1594
Thailand,2704297
Tanzania,55086
Tajikistan,28152
Syria,597623
Switzerland,445346
Sweden,562207
Swaziland,11766
Suriname,25736
Sudan,116047
St. Vincent and the Grenadines,2128
St. Martin (French part),0
St. Lucia,4037
St. Kitts and Nevis,2408
Sri Lanka,127311
Spain,3516243
South Sudan,0
South Korea,5326435
South Africa,4580681
Somalia,6315
Solomon Islands,2025
Slovenia,172236
Slovakia,416410
Sint Maarten (Dutch part),0
Singapore,342333
Sierra Leone,6816
Seychelles,7312
Serbia,249987
Senegal,57443
Saudi Arabia,4181326
Sao Tome and Principe,817
San Marino,0
Samoa,1689
Rwanda,6761
Russia,17865413
Romania,1022100
Qatar,554632
Puerto Rico,0
Portugal,670511
Poland,3382678
Philippines,805809
Peru,404547
Paraguay,45467
Papua New Guinea,41936
Panama,77807
Pakistan,1496880
Oman,380648
Norway,488994
North Macedonia,125225
North Korea,851874
Nigeria,992514
Niger,10084
Nicaragua,47410
New Zealand,368566
New Caledonia,30550
Netherlands,1893713
Nepal,34030
Namibia,26242
Myanmar,115576
Mozambique,22346
Morocco,484292
Montenegro,13847
Mongolia,101091
Monaco,0
Moldova,48809
Micronesia,0
Mexico,4677988
Mauritius,38067
Mauritania,18838
Marshall Islands,994
Malta,27650
Mali,6291
Maldives,8792
Malaysia,1913284
Malawi,10905
Madagascar,19380
Macao SAR,16507
Luxembourg,113272
Lithuania,149254
Liechtenstein,0
Libya,589778
Liberia,6680
Lesotho,69
Lebanon,186349
Latvia,78685
Laos,15712
Kyrgyzstan,58993
Kuwait,764323
Kosovo,0
Kiribati,523
Kenya,105121
Kazakhstan,2036643
Jordan,211247
Japan,13334590
Jamaica,116526
Italy,4956027
Israel,721178
Isle of Man,0
Ireland,471771
Iraq,1043159
Iran,5278723
Indonesia,3881629
India,16577008
Iceland,23763
Hungary,611705
Hong Kong SAR,424792
Honduras,78958
Haiti,21875
Guyana,17084
Guinea-Bissau,2207
Guinea,13836
Guatemala,125780
Guam,0
Grenada,2469
Greenland,6406
Greece,1045616
Ghana,86421
Germany,8832285
Georgia,55735
Gambia,0
Gabon,18331
French Polynesia,8863
France,4151218
Finland,662052
Fiji,11954
Faeroe Islands,8242
Ethiopia,60723
Estonia,182373
Eritrea,6687
Equatorial Guinea,47828
El Salvador,70119
Egypt,1830497
Ecuador,307394
Dominican Republic,226606
Dominica,1310
Djibouti,5097
Denmark,542016
Czech Republic,1318672
Cyprus,83692
Curacao,0
Cuba,306931
Croatia,245300
Cote d'Ivoire,75165
Costa Rica,78452
Congo (Kinshasa),24218
Congo (Brazzaville),14503
Comoros,1207
Colombia,682646
China,62411163
Chile,689963
Chad,3968
Central African Republic,2617
Cayman Islands,5808
Canada,5917027
Cameroon,50835
Cambodia,32730
Burundi,2369
Burkina Faso,14403
Bulgaria,516655
Brunei,77724
Brazil,3889899
Botswana,50308
Bosnia and Herzegovina,288080
Bolivia,140457
Bhutan,4361
Bermuda,5509
Benin,35452
Belize,4985
Belgium,1199721
Belarus,636721
Barbados,15112
Bangladesh,456740
Bahrain,216021
Bahamas,0
Azerbaijan,399593
Austria,753146
Australia,3957644
Aruba,25050
Armenia,45065
Argentina,1752086
Antigua and Barbuda,4599
Angola,211223
Andorra,5914
American Samoa,0
Algeria,1131214
Albania,42923
Afghanistan,26133